volcano_number,volcano_name,primary_volcano_type,last_eruption_year,country,region,subregion,latitude,longitude,elevation,RowNum
372020,Eyjafjallajokull,Stratovolcano,2010,Iceland,Iceland and Arctic Ocean,Iceland (southern),63.633,-19.633,1651,170
284140,Farallon de Pajaros,Stratovolcano,1967,United States,Japan/ Taiwan/ Marianas,Izu/ Volcano/ and Mariana Islands,20.546,144.893,337,171
382010,Fayal,Stratovolcano,1958,Portugal,Atlantic Ocean,Azores,38.6,-28.73,1043,172
221190,Fentale,Stratovolcano,1820,Ethiopia,Africa and Red Sea,Africa (northeastern) and Red Sea,8.975,39.93,2007,173
311350,Fisher,Stratovolcano,1830,United States,Alaska,Aleutian Islands,54.65,-164.43,1112,174
382001,Flores,Stratovolcano(es),-950,Portugal,Atlantic Ocean,Azores,39.462,-31.216,914,175
384010,Fogo,Stratovolcano,2015,Cape Verde,Atlantic Ocean,Cape Verde Islands,14.95,-24.35,2829,176
223001,Fort Portal,Tuff cone(s),-2120,Uganda,Africa and Red Sea,Africa (central),0.7,30.25,1615,177
233020,Fournaise/ Piton de la,Shield,2020,France,Middle East and Indian Ocean,Indian Ocean (western),-21.244,55.708,2632,178
373070,Fremrinamar,Stratovolcano,-1200,Iceland,Iceland and Arctic Ocean,Iceland (northeastern),65.416,-16.666,970,179
342090,Fuego,Stratovolcano(es),2020,Guatemala,México and Central America,Guatemala,14.473,-90.88,3763,180
283030,Fujisan,Stratovolcano,1708,Japan,Japan/ Taiwan/ Marianas,Honshu,35.361,138.728,3776,181
282091,Fukue,Shield(s),-400,Japan,Japan/ Taiwan/ Marianas,Ryukyu Islands and Kyushu,32.657,128.849,315,182
382100,Furnas,Stratovolcano,1630,Portugal,Atlantic Ocean,Azores,37.77,-25.32,805,183
334070,Galapagos Rift,Submarine,1996,Undersea Features,Hawaii and Pacific Ocean,Pacific Ocean (eastern),0.792,-86.15,-2430,184
351080,Galeras,Complex,2014,Colombia,South America,Colombia,1.22,-77.37,4276,185
263140,Galunggung,Stratovolcano,1984,Indonesia,Indonesia,Java,-7.25,108.058,2168,186
268060,Gamalama,Stratovolcano(es),2018,Indonesia,Indonesia,Halmahera,0.8,127.33,1715,187
300210,Gamchen,Complex,-550,Russia,Kamchatka and Mainland Asia,Kamchatka Peninsula,54.974,160.703,2539,188
268040,Gamkonora,Stratovolcano,2007,Indonesia,Indonesia,Halmahera,1.38,127.53,1635,189
320200,Garibaldi,Stratovolcano,-8060,Canada,Canada and Western USA,Canada,49.85,-123.0,2678,190
257020,Gaua,Stratovolcano,2011,Vanuatu,Melanesia and Australia,Vanuatu,-14.27,167.5,797,191
263060,Gede-Pangrango,Stratovolcano(es),1957,Indonesia,Indonesia,Java,-6.77,106.965,3008,192
214070,Ghegham Volcanic Ridge,Volcanic field,-1900,Armenia,Mediterranean and Western Asia,Western Asia,40.283,45.0,3597,193
321020,Glacier Peak,Stratovolcano,1700,United States,Canada and Western USA,USA (Washington),48.112,-121.113,3213,194
323170,Golden Trout Creek,Volcanic field,-5550,United States,Canada and Western USA,USA (California),36.358,-118.32,2886,195
300070,Gorely,Caldera,2010,Russia,Kamchatka and Mainland Asia,Kamchatka Peninsula,52.559,158.03,1799,196
382040,Graciosa,Stratovolcano,-1950,Portugal,Atlantic Ocean,Azores,39.02,-27.97,402,197
383040,Gran Canaria,Fissure vent(s),40,Spain,Atlantic Ocean,Canary Islands,28.0,-15.58,1950,198
371060,Grimsnes,Crater rows,-3500,Iceland,Iceland and Arctic Ocean,Iceland (southwestern),64.05,-20.883,200,199
373010,Grimsvotn,Caldera,2011,Iceland,Iceland and Arctic Ocean,Iceland (northeastern),64.416,-17.316,1719,200
352020,Guagua Pichincha,Stratovolcano,2002,Ecuador,South America,Ecuador,-0.171,-78.598,4784,201
263130,Guntur,Complex,1847,Indonesia,Indonesia,Java,-7.143,107.84,2249,202
284050,Hachijojima,Stratovolcano(es),1606,Japan,Japan/ Taiwan/ Marianas,Izu/ Volcano/ and Mariana Islands,33.137,139.766,854,203
283250,Hachimantai,Stratovolcano,-5350,Japan,Japan/ Taiwan/ Marianas,Honshu,39.958,140.854,1613,204
275001,Hainan Volcanic Field,Pyroclastic cone(s),1933,China,Philippines and SE Asia,Southeast Asia,19.905,110.229,196,205
283280,Hakkodasan,Stratovolcano(es),1550,Japan,Japan/ Taiwan/ Marianas,Honshu,40.659,140.877,1585,206
283020,Hakoneyama,Complex,2015,Japan,Japan/ Taiwan/ Marianas,Honshu,35.233,139.021,1438,207
283050,Hakusan,Stratovolcano,1659,Japan,Japan/ Taiwan/ Marianas,Honshu,36.155,136.771,2702,208
332060,Haleakala,Shield,1750,United States,Hawaii and Pacific Ocean,Hawaiian Islands,20.708,-156.25,3055,209
306040,Halla,Shield,1007,South Korea,Kamchatka and Mainland Asia,Korea,33.361,126.53,1919,210
252100,Hargy,Stratovolcano,950,Papua New Guinea,Melanesia and Australia,New Britain,-5.33,151.1,1148,211
231001,Harrat Ash Shamah,Volcanic field,1850,Syria-Jordan-Saudi Arabia,Middle East and Indian Ocean,Middle East (western),32.333,37.583,1100,212
283122,Harunasan,Stratovolcano,550,Japan,Japan/ Taiwan/ Marianas,Honshu,36.477,138.851,1449,213
231110,Haylan/ Jabal,Volcanic field,-1200,Yemen,Middle East and Indian Ocean,Middle East (southern),15.4,45.1,1550,214
241140,Healy,Submarine,1360,New Zealand,New Zealand to Fiji,New Zealand,-35.004,178.973,-980,215
234010,Heard,Stratovolcano,2020,Australia,Middle East and Indian Ocean,Indian Ocean (southern),-53.106,73.513,2745,216
372070,Hekla,Stratovolcano,2000,Iceland,Iceland and Arctic Ocean,Iceland (southern),63.983,-19.666,1490,217
324040,Hell's Half Acre,Shield,-3250,United States,Canada and Western USA,USA (Idaho),43.5,-112.45,1631,218
371050,Hengill,Crater rows,150,Iceland,Iceland and Arctic Ocean,Iceland (southwestern),64.083,-21.416,803,219
383020,Hierro,Shield,2012,Spain,Atlantic Ocean,Canary Islands,27.73,-18.03,1500,220
283131,Hiuchigatake,Stratovolcano,1544,Japan,Japan/ Taiwan/ Marianas,Honshu,36.955,139.285,2356,221
285020,Hokkaido-Komagatake,Stratovolcano,2000,Japan,Japan/ Taiwan/ Marianas,Hokkaido,42.063,140.677,1131,222
322010,Hood,Stratovolcano,1866,United States,Canada and Western USA,USA (Oregon),45.374,-121.695,3426,223
320080,Hoodoo Mountain,Subglacial,-7050,Canada,Canada and Western USA,Canada,56.78,-131.28,1850,224
332040,Hualalai,Shield,1801,United States,Hawaii and Pacific Ocean,Hawaiian Islands,19.692,-155.87,2523,225
354005,Huambo,Volcanic field,-700,Peru,South America,Peru,-15.83,-72.13,4550,226
357123,Huanquihue Group,Stratovolcano(es),1750,Argentina,South America,Central Chile and Argentina,-39.887,-71.58,2189,227
354030,Huaynaputina,Stratovolcano,1600,Peru,South America,Peru,-16.608,-70.85,4850,228
390028,Hudson Mountains,Stratovolcano(es),-210,Antarctica,Antarctica,Antarctica and South Sandwich Islands,-74.33,-99.42,749,229
358057,Hudson/ Cerro,Stratovolcano,2011,Chile,South America,Southern Chile and Argentina,-45.9,-72.97,1905,230
358030,Huequi,Lava dome(s),1920,Chile,South America,Southern Chile and Argentina,-42.377,-72.578,1318,231
341093,Humeros/ Los,Caldera(s),-4470,Mexico,México and Central America,Mexico,19.68,-97.45,3150,232
268030,Ibu,Stratovolcano,2020,Indonesia,Indonesia,Halmahera,1.488,127.63,1325,233
222161,Igwisi Hills,Pyroclastic cone(s),-10450,Tanzania,Africa and Red Sea,Africa (eastern),-4.889,31.933,1146,234
263350,Ijen,Stratovolcano(es),1999,Indonesia,Indonesia,Java,-8.058,114.242,2769,235
313020,Iliamna,Stratovolcano,1876,United States,Alaska,Alaska (southwestern),60.032,-153.09,3053,236
264220,Iliboleng,Stratovolcano,1993,Indonesia,Indonesia,Lesser Sunda Islands,-8.342,123.258,1659,237
264250,Iliwerung,Complex,2013,Indonesia,Indonesia,Lesser Sunda Islands,-8.53,123.57,1018,238
343060,Ilopango,Caldera,1880,El Salvador,México and Central America,El Salvador and Honduras,13.672,-89.053,450,239
352004,Imbabura,Compound,-5550,Ecuador,South America,Ecuador,0.258,-78.183,4609,240
314060,Imuruk Lake,Shield(s),300,United States,Alaska,Alaska (western),65.517,-163.45,610,241
321070,Indian Heaven,Shield(s),-6250,United States,Canada and Western USA,USA (Washington),45.93,-121.82,1806,242
357041,Infiernillo,Volcanic field,-6890,Argentina,South America,Central Chile and Argentina,-35.123,-69.9,3007,243
264090,Inielika,Complex,2001,Indonesia,Indonesia,Lesser Sunda Islands,-8.73,120.98,1559,244
264080,Inierie,Stratovolcano,-8050,Indonesia,Indonesia,Lesser Sunda Islands,-8.875,120.95,2245,245
284120,Ioto,Caldera,2012,Japan,Japan/ Taiwan/ Marianas,Izu/ Volcano/ and Mariana Islands,24.751,141.289,169,246
282020,Io-Torishima,Complex,1968,Japan,Japan/ Taiwan/ Marianas,Ryukyu Islands and Kyushu,27.881,128.223,212,247
345060,Irazu,Stratovolcano,1994,Costa Rica,México and Central America,Costa Rica,9.979,-83.852,3432,248
273042,Isarog,Stratovolcano,-3500,Philippines,Philippines and SE Asia,Luzon,13.658,123.38,1966,249
